SERVICE,CODE,STATION,GOUVERNORAT
RESEAU,154010,SIDI EL HENI,SOUSSE
RESEAU,154250,SOUSSE REPUB,SOUSSE
RESEAU,154440,S. KHELIFA pk72 ,SOUSSE
RESEAU,154730,KALAA EL KEBIRA,SOUSSE
RESEAU,154870,SAHLOUL,SOUSSE
RESEAU,155340,S. LAHED .S,SOUSSE
RESEAU,155410,S. LAHED .S,SOUSSE
RESEAU,155490,S. LAHED .S,SOUSSE
RESEAU,155540,S. LAHED .S,SOUSSE
RESEAU,155620,HERGLA,SOUSSE
RESEAU,155630,S. LAHED .S,SOUSSE
RESEAU,155820,S. KHELIFA pk72 ,SOUSSE
RESEAU,150460,TATAOUINE,TATAOUINE
RESEAU,153000,BIR LAHMAR,TATAOUINE
RESEAU,153220,REMADA,TATAOUINE
RESEAU,153430,SMAR,TATAOUINE
RESEAU,155050,NVLE TATAOUINE,TATAOUINE
RESEAU,155970,TATAOUINE 2,TATAOUINE
RESEAU,152220,TOZEUR VILLE,TOZEUR
RESEAU,154630,NAFTA,TOZEUR
RESEAU,154640,TOZEUR ,TOZEUR
RESEAU,155460,DEGACHE,TOZEUR
RESEAU,155550,HAZOUA,TOZEUR
RESEAU,150300,AV REPUBLIQUE,TUNIS
RESEAU,151110,GOULETTE,TUNIS
RESEAU,151140,AV.BOUGATFA,TUNIS
RESEAU,151350,AV. HEDI SAIDI,TUNIS
RESEAU,152620,AV DE CARTHAGE,TUNIS
RESEAU,152930,SIDI BOUSAID,TUNIS
RESEAU,153380,AV MOHAMED 5,TUNIS
RESEAU,154260,ENTREE SUD,TUNIS
RESEAU,154420,EZZOUHOUR,TUNIS
RESEAU,154500,SORTIE SUD Z4,TUNIS
RESEAU,154790,BERGES DU LAC,TUNIS
RESEAU,154890,DJEBEL JELLOUD,TUNIS
RESEAU,155020,CITE OLYMPIQUE,TUNIS
RESEAU,155130,EL AOUINA,TUNIS
RESEAU,155330,GAMMARTH,TUNIS
RESEAU,155750,DJEBEL JELLOUD,TUNIS
RESEAU,155840,SEDJOUMI,TUNIS
RESEAU,152590,ZAGHOUAN,ZAGHOUAN
RESEAU,153680,EL FAHS,ZAGHOUAN
RESEAU,153690,BIR MCHERGA,ZAGHOUAN
RESEAU,153780,H.ZRIBA,ZAGHOUAN
RESEAU,154360,ENNADHOUR,ZAGHOUAN
RESEAU,155110,EL FAHS,ZAGHOUAN
